sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024
PASD:1024x768___1446670895,PASD,1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1446670895.png,test,-1.7651901,-1.5278394,0.6008274,-0.9712955,0.23671812,-1.7215832,-0.43186393,0.4984059,-0.70974565,2.444226,-1.1618414,0.42954576,0.893135,-0.1398008,1.764132,-0.3492684,0.18902609,0.6436353,0.6873916,0.41810265,0.9938736,-0.5051018,0.6070141,-0.06776668,-0.106249794
PASD:1024x768___1795186582,PASD,1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1795186582.png,train,-1.1929178,0.19168568,1.4164903,-1.312004,1.3325531,-0.4167769,-0.46537787,0.8541448,-0.42655876,-1.9858605,1.8362966,-2.690433,-0.83841294,1.5377853,-0.11544126,0.70207787,-1.1971565,0.5764725,0.51648986,0.8673813,-0.50744224,-1.0061134,0.6291243,-0.4208448,-0.29804876
PASD:1024x768___2047083409,PASD,1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2047083409.png,test,-0.73170245,-1.4859095,1.0984623,-0.843727,1.7223929,0.43809962,-0.89545184,0.6813985,-0.7553163,0.3571086,1.3466225,-0.9885639,0.38210452,-0.43859208,0.31463444,-0.12825508,-0.089064375,0.20213702,0.64639366,0.78171086,0.103649154,0.30530983,-0.3248996,0.007945418,-0.14735049
PASD:1024x768___2063914625,PASD,1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2063914625.png,test,-1.7992502,-1.601112,-0.28153595,-0.8870115,0.62067187,-0.6761799,-0.24275126,-0.068070896,-0.84142077,1.57925,-0.50720114,0.19773072,0.6485942,-0.26957846,1.7175105,-0.6744667,0.22080806,-0.28354198,0.26213866,0.5035807,0.3426145,0.28276506,0.4098266,-0.5072858,-0.41065297
PASD:1024x768___223186789,PASD,1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___223186789.png,train,0.31689706,-2.654094,-0.3612234,0.34252697,0.57652843,0.5089748,-0.09198541,0.007186223,-0.19798619,-0.6612369,-0.091427505,-1.2096678,-0.19264978,-0.28287965,-0.046937346,0.1647937,-0.6319753,-0.24886425,-0.3715589,-0.8066202,0.48303932,0.32535964,0.06909462,-0.24802898,-0.10704056
PASD:1024x768___2688438615,PASD,1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2688438615.png,test,-2.6552753,1.9224756,-0.5464476,-3.3766031,0.61040604,-1.6339797,-2.1574657,0.13897195,-0.34930387,-1.6577749,-0.08727974,-1.3623092,-0.2744328,-0.26768094,0.26159042,0.37711558,-0.38973132,0.8619536,1.6715252,-0.3746594,-0.26733202,-0.27427936,-0.37354723,-1.3824645,0.64719707
PASD:1024x768___3092999912,PASD,1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3092999912.png,test,-0.009413815,0.64856386,-2.327006,-2.8648143,2.0339942,0.55066705,-0.81509495,-1.2490938,0.20485711,0.9745989,3.5142605,3.0182533,-0.9682435,-0.6659539,2.226097,-1.0600891,-1.3753263,-0.5209926,0.82116264,-0.5805155,-0.12656224,1.6004984,2.442002,2.797943,-1.272165
PASD:1024x768___38056572,PASD,1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___38056572.png,test,-1.5559392,-0.7080457,1.6991341,-2.3539138,-1.02111,-0.14035738,1.2410676,-2.244509,-1.0887116,0.27243203,-1.4484994,0.9918842,-0.41796136,-0.18651053,0.40716052,-0.5525768,0.4547073,-0.19471675,0.13526124,1.9631145,-0.19890478,-0.81981075,1.9928693,-1.9019272,-0.24490395
PASD:1024x768___3956832242,PASD,1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3956832242.png,train,-0.24782853,-3.603514,-1.9247577,-0.59423554,-0.4531973,-0.6228187,-1.1196513,1.1577611,4.5210133,1.3376932,1.3268743,-0.9595741,-1.1094277,-0.47166783,-0.03285688,1.1046348,1.8583468,-0.5049856,-0.7616047,0.08418368,-1.0404825,-1.3815016,-0.4827034,-0.5120338,-0.71220577
PASD:1024x768___4042245241,PASD,1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4042245241.png,test,4.7529063,4.759941,5.099877,1.4729756,-3.9970973,-1.659113,-2.5261958,-0.5400262,0.8211694,-0.84203106,2.2891119,2.8990324,2.7928014,-3.8761063,0.40186077,-0.6046524,0.32281876,-1.4007114,0.88510865,-0.29593208,-1.0990927,-1.2708788,-0.16944253,1.3422877,-0.20926744
