sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.4635557,1.2235806,0.7625835,0.50290585,1.2008253
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.59973454,1.388896,1.0330242,0.4013037,1.1933202
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.6104256,1.297857,0.69989383,0.486508,1.2147409
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.3407465,-1.9825732,-0.50057864,1.5196187,-1.0566549
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.53224,-1.5544802,-0.86667705,1.0786513,-1.5129954
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.4292896,-1.8600478,-0.65151465,1.3360909,-1.2569827
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-3.9191093,0.533026,5.212478,-4.7892084,-1.3830065
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-4.3856173,0.831527,5.087748,-4.7524204,-1.1392889
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-4.162354,0.2048204,5.7460403,-5.2571898,-1.4272902
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,8.764364,2.0688527,3.7285254,2.7697258,-0.016516434
QualiSR-Set120/RealESRGAN/ava_images___18037.npy.gz,RealESRGAN,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___18037.png,QualiSR-Set120,ava_images___18037,RealESRGAN/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,9.44915,2.4944825,4.401325,3.1402476,-0.21490589
QualiSR-Set120/SUPIR/ava_images___18037.npy.gz,SUPIR,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___18037.png,QualiSR-Set120,ava_images___18037,SUPIR/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,8.772827,1.9972827,3.5692124,2.656075,0.15096787
QualiSR-Set120/PASD/ava_images___217590.npy.gz,PASD,ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___217590.png,QualiSR-Set120,ava_images___217590,PASD/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___217590.png,test,4.1709166,0.5224571,1.7097226,1.990706,-0.07030901
QualiSR-Set120/RealESRGAN/ava_images___217590.npy.gz,RealESRGAN,ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___217590.png,QualiSR-Set120,ava_images___217590,RealESRGAN/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___217590.png,test,4.3137383,0.64885306,2.038756,2.088342,-0.18308666
QualiSR-Set120/SUPIR/ava_images___217590.npy.gz,SUPIR,ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___217590.png,QualiSR-Set120,ava_images___217590,SUPIR/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___217590.png,test,4.252868,0.6174481,1.9225527,2.007348,-0.1230285
