sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-7.381428,-9.208598,-7.3646207,-13.14072,-0.83698463,-3.4978352,-19.810236,-17.72239,-10.898531,-19.396362,-19.90268,-11.578148,-8.150194,-37.890793,18.624626,37.96631,-21.138908,-79.10491,-60.735287,60.87979,1.1451417,6.8201823,-1.4039744,12.956085,-6.0696907
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-6.692154,-8.523822,-6.048954,-12.831734,-1.0995197,-2.0874863,-20.287477,-16.801416,-12.393892,-19.304455,-21.338491,-11.6130295,-7.38322,-38.656803,18.612783,39.64117,-20.003973,-80.586105,-61.659916,62.331757,2.13234,7.306043,-1.2769283,11.928478,-5.9400916
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-7.096072,-7.8423004,-7.5489035,-13.9062605,0.4593562,-3.1986723,-19.993057,-17.65305,-11.687019,-20.367165,-20.990076,-13.22408,-8.054955,-39.17352,19.715727,40.671024,-20.134027,-81.97714,-62.738995,62.705826,2.0922182,6.4950128,-3.290781,15.218384,-7.3121285
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,2.8614445,30.58119,-8.964408,-14.658039,33.206665,-9.661054,8.114983,-12.527761,-26.274662,-13.929259,6.4983006,-7.7839828,-13.758879,38.57222,20.575596,7.925169,-36.821198,-36.626747,132.69518,54.033043,-23.605587,34.434635,13.443833,11.559488,5.856784
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-9.521119,3.330679,-9.361008,-12.088419,12.52686,-13.376311,-3.2728467,-13.503744,-15.392263,-8.652542,-2.282287,-10.041435,-11.889854,19.5148,6.4324055,5.636378,-20.848204,-18.54612,68.472595,21.710623,-7.7423306,9.607065,4.8273096,0.7739582,0.6237962
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,0.7834797,25.534094,-8.049358,-13.926176,25.070436,-10.738024,1.2904067,-14.10398,-23.284544,-11.612009,-0.059849262,-10.515374,-14.056114,33.428368,14.549063,7.9595213,-30.56023,-30.634762,114.14506,43.574142,-18.57196,25.872417,9.949931,11.74234,4.2038536
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-18.736448,-15.305958,-2.6177025,-12.90702,-70.488396,191.32445,6.408241,2.2935133,-25.10476,-24.010921,-2.4913857,2.6364737,21.674263,14.908377,3.5753453,-14.24803,-7.2312355,1.3354964,3.4047048,5.334496,2.5079272,-3.3614419,-5.985572,-2.5219607,3.5122929
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-13.800049,-13.6189995,-2.9184914,-10.260638,-74.09089,191.9074,6.210918,2.2268171,-24.095276,-21.591434,-4.2521124,4.9455576,21.74573,12.989578,0.58712554,-15.259951,-6.686307,1.4761105,4.4496484,7.8676076,3.3197262,-2.6475458,-3.9130166,0.087179184,3.5615282
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-16.21327,-13.174852,-5.0872517,-13.281902,-65.40879,180.09996,9.343391,0.5603256,-25.565145,-21.479042,-3.992382,3.4402657,21.649178,12.09475,0.09774327,-13.619932,-6.455661,2.963876,3.4609125,5.7194333,4.460061,-2.3411365,-5.1781197,-1.6132765,3.117352
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-14.182684,-12.577985,-10.755562,-9.866311,1.3079046,-14.685171,-6.968632,-12.291342,-6.477093,-11.0928955,-3.1016285,-12.473122,-5.4990277,0.14125821,-7.8277426,-2.3154178,-9.717794,1.2610765,5.5607953,-9.434832,7.6325855,-9.751609,-5.320276,-11.02146,-3.3971941
