feature,pretty_feature,family,mean_abs_shap
musiq,MUSIQ,NR,0.06431610553650303
pieapp_rlfn,PieAPP + RLFN,FR,0.044435219788613
unique,UNIQUE,NR,0.012334308434976604
max,Max,Stats,0.011749054992556058
resnet_pca_001,ResNet PC1,ResNet,0.009880812245737156
arniqa,ARNIQA,NR,0.008473988496475156
resnet_pca_000,ResNet PC0,ResNet,0.007508823443771497
std,Std,Stats,0.006307419636898494
median,Median,Stats,0.0061312297307216474
vgg_pca_001,VGG PC1,VGG,0.005176123170816866
ahiq_rlfn,AHIQ + RLFN,FR,0.004555280836555548
resnet_pca_002,ResNet PC2,ResNet,0.003897264713904667
resnet_pca_003,ResNet PC3,ResNet,0.003873731192079741
resnet_pca_004,ResNet PC4,ResNet,0.002963303259406287
psnr_rlfn,PSNR + RLFN,FR,0.0023824646514840563
vgg_pca_003,VGG PC3,VGG,0.002085228259240121
vgg_pca_002,VGG PC2,VGG,0.0020721569271091303
vgg_pca_000,VGG PC0,VGG,0.001872309701437782
vgg_pca_004,VGG PC4,VGG,0.001837019163162198
paq2piq,PaQ-2-PiQ,NR,0.0017768659797056435
area00,Area 0.00,Stats,0.0015246062595257184
ssim_rlfn,SSIM + RLFN,FR,0.0014569637167661644
lpips-vgg_rlfn,LPIPS-VGG + RLFN,FR,0.0013665994025725313
stlpips-vgg_rlfn,STLPIPS-VGG + RLFN,FR,0.0009758867526631275
