feature,pretty_feature,family,mean_abs_shap
musiq,MUSIQ,NR,0.061069898030837066
pieapp_rlfn,PieAPP + RLFN,FR,0.03934060886967927
resnet_pca_001,ResNet PC1,ResNet,0.023345424483219784
max,Max,Stats,0.02197558034094982
vgg_pca_001,VGG PC1,VGG,0.010719847882379932
resnet_pca_000,ResNet PC0,ResNet,0.010642814485739413
unique,UNIQUE,NR,0.009860709970477425
arniqa,ARNIQA,NR,0.009600781571255842
std,Std,Stats,0.009234598488546908
median,Median,Stats,0.008963432025969572
paq2piq,PaQ-2-PiQ,NR,0.007904832042792501
vgg_pca_004,VGG PC4,VGG,0.006055042404417084
ahiq_rlfn,AHIQ + RLFN,FR,0.005900676468930517
stlpips-vgg_rlfn,STLPIPS-VGG + RLFN,FR,0.005074425396742299
resnet_pca_004,ResNet PC4,ResNet,0.004907033178218019
area00,Area 0.00,Stats,0.004446323999521458
lpips-vgg_rlfn,LPIPS-VGG + RLFN,FR,0.003833770508208545
psnr_rlfn,PSNR + RLFN,FR,0.0037392448266473366
resnet_pca_002,ResNet PC2,ResNet,0.003626670438279689
resnet_pca_003,ResNet PC3,ResNet,0.00291256420314312
vgg_pca_002,VGG PC2,VGG,0.0026997336175706246
ssim_rlfn,SSIM + RLFN,FR,0.002205263108407962
vgg_pca_000,VGG PC0,VGG,0.0013598785912260307
vgg_pca_003,VGG PC3,VGG,0.0004281122384478901
